"","agent_cond","interact_cond","willing_friend","willing_romantic","wtp","true","talk_listen","not_judge","emotion","understand","body","comp1","comp2","belief","worker_id","explain","loneliness_1_1","loneliness_2_1","loneliness_3_1","ai_companion_exp","ai_companion_exp2","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","age","edu","edu_8_TEXT","ai_capability_1","agent_cond_n","interact_cond_n","wtp_logged"
"762","human","yes",70,80,0,60,30,25,65,71,100,1,2,"1",76,"If it was a chatbot, it was pretty good AI.  I asked a specific question and the response seemed like a real person was responding.","0","0","0","2","","1",NA,"2",NA,"56","6",NA,"90",1,1,1
"772","ai","yes",61,20,5,95,100,90,90,10,100,2,2,NA,77,"","90","75","90","2","","2",NA,"3",NA,"55","2",NA,"70",2,1,2.79175946922805
"802","ai","yes",100,50,10,50,100,100,0,0,100,2,2,NA,80,"","0","0","0","2","","2",NA,"2",NA,"37","5",NA,"75",2,1,3.39789527279837
"832","ai","yes",0,0,0,100,0,0,100,0,100,2,2,NA,83,"","100","100","100","2","","2",NA,"4",NA,"34","4",NA,"0",2,1,1
"852","human","yes",91,83,5,37,92,59,71,97,79,1,2,"1",85,"She understood the topic she was speaking about.","42","52","52","2","","2",NA,"3",NA,"44","4",NA,"60",1,1,2.79175946922805
"86","ai","yes",29,27,0,100,86,91,50,27,100,2,2,NA,86,"","0","0","0","2","","2",NA,"4",NA,"32","3",NA,"79",2,1,1
"872","ai","yes",15,0,0,99,63,75,100,71,100,2,2,NA,87,"","93","80","94","2","","2",NA,"3",NA,"38","4",NA,"49",2,1,1
"902","ai","yes",100,80,10,26,100,95,79,100,100,2,2,NA,90,"","9","6","0","2","","2",NA,"3",NA,"44","3",NA,"73",2,1,3.39789527279837
"912","ai","yes",0,0,0,100,50,50,0,50,100,2,2,NA,91,"","70","50","50","2","","2",NA,"3",NA,"48","4",NA,"50",2,1,1
"952","ai","yes",50,0,0,92,100,81,100,62,100,2,2,NA,95,"","30","29","19","2","","2",NA,"3",NA,"35","4",NA,"81",2,1,1
"962","ai","yes",31,30,1,60,100,50,100,41,100,2,2,NA,96,"","67","32","54","1","I've seen a few similar (though admittedly less convincing) chat bots over the years. I can't recall any by name but they've been around for well over a decade.","1",NA,"3",NA,"33","1",NA,"81",2,1,1.69314718055995
"972","ai","yes",40,0,0,85,90,90,97,40,100,2,2,NA,97,"","0","0","0","2","","1",NA,"3",NA,"37","3",NA,"75",2,1,1
"982","human","yes",100,90,10,0,75,90,0,5,60,1,2,"1",98,"The person was responding to me in a way that a real person would.","85","95","85","2","","1",NA,"3",NA,"44","4",NA,"10",1,1,3.39789527279837
"992","human","yes",50,0,3,0,100,50,0,0,100,1,2,"1",99,"my thoughts actually went back and forth, but overall she came across as genuine","0","0","0","2","","2",NA,"3",NA,"60","3",NA,"100",1,1,2.38629436111989
